# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1652359352941
# Cmd Line:	-g CovariantGame -r -0.2 -players 3 -actions 5 -normalize -min_payoff 0.01 -max_payoff 1 -int_payoffs -int_mult 100 -f CG_multi_3_5_2.txt
# Players:	3
# Actions:	5 5 5
# players:	3
# actions:	[5]
# r:	-0.2
[1  1  1] :	[ 46 67 51 ]
[2  1  1] :	[ 39 45 73 ]
[3  1  1] :	[ 74 51 55 ]
[4  1  1] :	[ 51 55 54 ]
[5  1  1] :	[ 44 44 62 ]
[1  2  1] :	[ 53 37 77 ]
[2  2  1] :	[ 28 53 76 ]
[3  2  1] :	[ 44 60 76 ]
[4  2  1] :	[ 48 60 49 ]
[5  2  1] :	[ 56 49 71 ]
[1  3  1] :	[ 45 51 54 ]
[2  3  1] :	[ 41 55 66 ]
[3  3  1] :	[ 52 49 59 ]
[4  3  1] :	[ 62 61 47 ]
[5  3  1] :	[ 5 90 83 ]
[1  4  1] :	[ 32 72 78 ]
[2  4  1] :	[ 61 41 36 ]
[3  4  1] :	[ 49 53 46 ]
[4  4  1] :	[ 59 68 56 ]
[5  4  1] :	[ 58 17 64 ]
[1  5  1] :	[ 46 53 45 ]
[2  5  1] :	[ 55 46 87 ]
[3  5  1] :	[ 60 43 51 ]
[4  5  1] :	[ 37 91 69 ]
[5  5  1] :	[ 40 62 64 ]
[1  1  2] :	[ 36 54 59 ]
[2  1  2] :	[ 35 87 69 ]
[3  1  2] :	[ 64 31 58 ]
[4  1  2] :	[ 67 24 61 ]
[5  1  2] :	[ 74 43 66 ]
[1  2  2] :	[ 65 64 57 ]
[2  2  2] :	[ 46 62 47 ]
[3  2  2] :	[ 82 35 53 ]
[4  2  2] :	[ 35 72 40 ]
[5  2  2] :	[ 71 41 62 ]
[1  3  2] :	[ 54 36 63 ]
[2  3  2] :	[ 55 45 69 ]
[3  3  2] :	[ 25 78 60 ]
[4  3  2] :	[ 55 62 34 ]
[5  3  2] :	[ 52 55 70 ]
[1  4  2] :	[ 65 64 40 ]
[2  4  2] :	[ 27 63 55 ]
[3  4  2] :	[ 74 27 54 ]
[4  4  2] :	[ 71 46 44 ]
[5  4  2] :	[ 63 71 31 ]
[1  5  2] :	[ 66 85 48 ]
[2  5  2] :	[ 57 84 35 ]
[3  5  2] :	[ 39 60 81 ]
[4  5  2] :	[ 2 59 72 ]
[5  5  2] :	[ 62 31 54 ]
[1  1  3] :	[ 50 67 43 ]
[2  1  3] :	[ 51 31 71 ]
[3  1  3] :	[ 52 57 52 ]
[4  1  3] :	[ 55 44 65 ]
[5  1  3] :	[ 46 50 61 ]
[1  2  3] :	[ 41 51 47 ]
[2  2  3] :	[ 47 54 63 ]
[3  2  3] :	[ 37 66 64 ]
[4  2  3] :	[ 36 63 40 ]
[5  2  3] :	[ 36 47 69 ]
[1  3  3] :	[ 52 80 39 ]
[2  3  3] :	[ 46 70 46 ]
[3  3  3] :	[ 56 33 34 ]
[4  3  3] :	[ 68 51 65 ]
[5  3  3] :	[ 51 54 61 ]
[1  4  3] :	[ 56 73 48 ]
[2  4  3] :	[ 50 93 53 ]
[3  4  3] :	[ 45 54 26 ]
[4  4  3] :	[ 69 62 75 ]
[5  4  3] :	[ 48 53 50 ]
[1  5  3] :	[ 65 77 57 ]
[2  5  3] :	[ 57 60 53 ]
[3  5  3] :	[ 36 45 69 ]
[4  5  3] :	[ 62 79 48 ]
[5  5  3] :	[ 73 59 50 ]
[1  1  4] :	[ 60 79 57 ]
[2  1  4] :	[ 70 53 67 ]
