# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1644412867147
# Cmd Line:	-g CovariantGame -r -0.2 -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f CG_multi_5_5_1.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
# r:	-0.2
[1  1  1  1  1] :	[ 428 452 393 765 511 ]
[2  1  1  1  1] :	[ 509 672 624 743 297 ]
[3  1  1  1  1] :	[ 673 578 484 421 521 ]
[4  1  1  1  1] :	[ 553 640 581 455 423 ]
[5  1  1  1  1] :	[ 787 437 364 629 447 ]
[1  2  1  1  1] :	[ 456 547 567 595 646 ]
[2  2  1  1  1] :	[ 666 573 472 516 594 ]
[3  2  1  1  1] :	[ 687 456 700 461 474 ]
[4  2  1  1  1] :	[ 641 351 709 661 492 ]
[5  2  1  1  1] :	[ 405 573 583 518 625 ]
[1  3  1  1  1] :	[ 688 557 589 438 522 ]
[2  3  1  1  1] :	[ 543 627 560 492 590 ]
[3  3  1  1  1] :	[ 546 610 526 550 374 ]
[4  3  1  1  1] :	[ 551 581 580 461 619 ]
[5  3  1  1  1] :	[ 321 433 748 631 566 ]
[1  4  1  1  1] :	[ 441 359 737 490 612 ]
[2  4  1  1  1] :	[ 402 678 685 617 556 ]
[3  4  1  1  1] :	[ 701 447 517 560 566 ]
[4  4  1  1  1] :	[ 580 507 554 558 542 ]
[5  4  1  1  1] :	[ 531 258 587 617 703 ]
[1  5  1  1  1] :	[ 338 789 465 595 547 ]
[2  5  1  1  1] :	[ 596 526 498 693 335 ]
[3  5  1  1  1] :	[ 626 558 454 481 521 ]
[4  5  1  1  1] :	[ 455 628 451 486 629 ]
[5  5  1  1  1] :	[ 575 497 644 562 395 ]
[1  1  2  1  1] :	[ 501 801 532 543 500 ]
[2  1  2  1  1] :	[ 600 511 455 480 511 ]
[3  1  2  1  1] :	[ 655 602 512 396 421 ]
[4  1  2  1  1] :	[ 516 708 422 521 448 ]
[5  1  2  1  1] :	[ 526 615 654 457 553 ]
[1  2  2  1  1] :	[ 581 531 476 579 611 ]
[2  2  2  1  1] :	[ 375 511 567 600 527 ]
[3  2  2  1  1] :	[ 622 485 517 559 552 ]
[4  2  2  1  1] :	[ 483 374 662 530 692 ]
[5  2  2  1  1] :	[ 587 520 434 550 492 ]
[1  3  2  1  1] :	[ 495 429 651 531 490 ]
[2  3  2  1  1] :	[ 475 613 459 616 560 ]
