# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1652188556881
# Cmd Line:	-g RandomGame -players 3 -actions 10 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f RG_multi_3_10_2.txt
# Players:	3
# Actions:	10 10 10
# players:	3
# actions:	[10]
[1  1  1] :	[ 433 668 967 ]
[2  1  1] :	[ 723 240 439 ]
[3  1  1] :	[ 454 51 113 ]
[4  1  1] :	[ 967 592 257 ]
[5  1  1] :	[ 97 622 553 ]
[6  1  1] :	[ 930 664 133 ]
[7  1  1] :	[ 262 973 454 ]
[8  1  1] :	[ 636 362 566 ]
[9  1  1] :	[ 911 809 264 ]
[10  1  1] :	[ 503 699 678 ]
[1  2  1] :	[ 732 339 881 ]
[2  2  1] :	[ 357 69 33 ]
[3  2  1] :	[ 98 51 114 ]
[4  2  1] :	[ 930 416 181 ]
[5  2  1] :	[ 204 16 89 ]
[6  2  1] :	[ 321 714 305 ]
[7  2  1] :	[ 185 16 44 ]
[8  2  1] :	[ 172 963 183 ]
[9  2  1] :	[ 689 138 876 ]
[10  2  1] :	[ 977 596 400 ]
[1  3  1] :	[ 320 465 107 ]
[2  3  1] :	[ 924 578 431 ]
[3  3  1] :	[ 625 464 940 ]
[4  3  1] :	[ 929 622 271 ]
[5  3  1] :	[ 624 968 677 ]
[6  3  1] :	[ 566 982 821 ]
[7  3  1] :	[ 74 91 422 ]
[8  3  1] :	[ 61 866 162 ]
[9  3  1] :	[ 637 317 461 ]
[10  3  1] :	[ 698 29 169 ]
[1  4  1] :	[ 469 646 632 ]
[2  4  1] :	[ 317 9 47 ]
[3  4  1] :	[ 504 382 695 ]
[4  4  1] :	[ 766 246 249 ]
[5  4  1] :	[ 272 587 302 ]
[6  4  1] :	[ 863 188 863 ]
[7  4  1] :	[ 708 799 498 ]
[8  4  1] :	[ 500 221 676 ]
[9  4  1] :	[ 100 326 142 ]
[10  4  1] :	[ 776 692 265 ]
[1  5  1] :	[ 684 769 829 ]
[2  5  1] :	[ 858 442 496 ]
[3  5  1] :	[ 97 838 374 ]
[4  5  1] :	[ 198 737 421 ]
[5  5  1] :	[ 725 391 45 ]
[6  5  1] :	[ 900 478 846 ]
[7  5  1] :	[ 433 974 257 ]
[8  5  1] :	[ 757 393 917 ]
[9  5  1] :	[ 80 248 470 ]
[10  5  1] :	[ 367 996 825 ]
[1  6  1] :	[ 989 23 453 ]
[2  6  1] :	[ 251 513 1000 ]
[3  6  1] :	[ 148 558 884 ]
[4  6  1] :	[ 927 287 636 ]
[5  6  1] :	[ 330 124 373 ]
[6  6  1] :	[ 887 240 374 ]
[7  6  1] :	[ 109 934 175 ]
[8  6  1] :	[ 869 554 274 ]
[9  6  1] :	[ 148 853 419 ]
[10  6  1] :	[ 41 405 407 ]
[1  7  1] :	[ 247 805 813 ]
[2  7  1] :	[ 587 313 388 ]
[3  7  1] :	[ 403 811 226 ]
[4  7  1] :	[ 227 809 6 ]
[5  7  1] :	[ 616 759 152 ]
[6  7  1] :	[ 516 770 597 ]
[7  7  1] :	[ 353 205 783 ]
[8  7  1] :	[ 25 24 470 ]
[9  7  1] :	[ 567 497 824 ]
[10  7  1] :	[ 141 102 356 ]
[1  8  1] :	[ 636 354 396 ]
[2  8  1] :	[ 953 978 521 ]
[3  8  1] :	[ 952 720 844 ]
[4  8  1] :	[ 469 976 513 ]
[5  8  1] :	[ 546 659 157 ]
[6  8  1] :	[ 707 200 169 ]
[7  8  1] :	[ 635 146 206 ]
[8  8  1] :	[ 760 681 983 ]
[9  8  1] :	[ 472 940 671 ]
[10  8  1] :	[ 896 105 387 ]
[1  9  1] :	[ 207 932 47 ]
