param n := 3;
set S[1] := 1 2 3 4 5;
set S[2] := 1 2 3 4 5;
set S[3] := 1 2 3 4 5;

param A :=
[*,1,1,1]  1 21 2 83 3 33
[*,2,1,1]  1 39 2 60 3 49
[*,3,1,1]  1 82 2 67 3 68
[*,4,1,1]  1 3 2 31 3 3
[*,5,1,1]  1 53 2 20 3 90
[*,1,2,1]  1 40 2 41 3 25
[*,2,2,1]  1 55 2 51 3 16
[*,3,2,1]  1 63 2 77 3 100
[*,4,2,1]  1 38 2 78 3 92
[*,5,2,1]  1 27 2 8 3 24
[*,1,3,1]  1 29 2 9 3 49
[*,2,3,1]  1 66 2 50 3 96
[*,3,3,1]  1 33 2 11 3 22
[*,4,3,1]  1 99 2 29 3 44
[*,5,3,1]  1 48 2 71 3 39
[*,1,4,1]  1 34 2 47 3 26
[*,2,4,1]  1 20 2 26 3 98
[*,3,4,1]  1 43 2 37 3 12
[*,4,4,1]  1 36 2 47 3 52
[*,5,4,1]  1 52 2 7 3 22
[*,1,5,1]  1 90 2 86 3 11
[*,2,5,1]  1 79 2 18 3 55
[*,3,5,1]  1 13 2 58 3 75
[*,4,5,1]  1 75 2 8 3 57
[*,5,5,1]  1 31 2 92 3 30
[*,1,1,2]  1 96 2 33 3 88
[*,2,1,2]  1 36 2 56 3 72
[*,3,1,2]  1 39 2 81 3 90
[*,4,1,2]  1 38 2 61 3 82
[*,5,1,2]  1 89 2 99 3 71
[*,1,2,2]  1 21 2 80 3 63
[*,2,2,2]  1 80 2 72 3 27
[*,3,2,2]  1 90 2 62 3 13
[*,4,2,2]  1 91 2 24 3 31
[*,5,2,2]  1 56 2 4 3 26
[*,1,3,2]  1 84 2 72 3 35
[*,2,3,2]  1 34 2 71 3 57
[*,3,3,2]  1 84 2 39 3 93
[*,4,3,2]  1 1 2 3 3 84
[*,5,3,2]  1 9 2 9 3 11
[*,1,4,2]  1 76 2 22 3 18
[*,2,4,2]  1 90 2 33 3 50
[*,3,4,2]  1 100 2 91 3 65
[*,4,4,2]  1 32 2 88 3 75
[*,5,4,2]  1 7 2 37 3 48
[*,1,5,2]  1 34 2 86 3 76
[*,2,5,2]  1 51 2 77 3 96
[*,3,5,2]  1 91 2 20 3 95
[*,4,5,2]  1 65 2 81 3 20
[*,5,5,2]  1 35 2 4 3 44
[*,1,1,3]  1 52 2 72 3 61
[*,2,1,3]  1 73 2 35 3 77
[*,3,1,3]  1 44 2 5 3 15
[*,4,1,3]  1 47 2 7 3 68
[*,5,1,3]  1 49 2 6 3 8
[*,1,2,3]  1 8 2 74 3 98
[*,2,2,3]  1 22 2 16 3 76
[*,3,2,3]  1 97 2 95 3 21
[*,4,2,3]  1 93 2 84 3 16
[*,5,2,3]  1 98 2 94 3 80
[*,1,3,3]  1 84 2 40 3 18
[*,2,3,3]  1 29 2 43 3 56
[*,3,3,3]  1 10 2 60 3 62
[*,4,3,3]  1 84 2 22 3 11
[*,5,3,3]  1 81 2 66 3 42
[*,1,4,3]  1 13 2 60 3 43
[*,2,4,3]  1 82 2 50 3 42
[*,3,4,3]  1 52 2 36 3 30
[*,4,4,3]  1 40 2 87 3 57
[*,5,4,3]  1 62 2 42 3 89
[*,1,5,3]  1 45 2 10 3 60
[*,2,5,3]  1 5 2 67 3 4
[*,3,5,3]  1 81 2 84 3 59
[*,4,5,3]  1 43 2 90 3 43
[*,5,5,3]  1 78 2 48 3 9
[*,1,1,4]  1 95 2 20 3 5
[*,2,1,4]  1 63 2 68 3 63
[*,3,1,4]  1 28 2 3 3 44
[*,4,1,4]  1 93 2 77 3 90
[*,5,1,4]  1 61 2 99 3 85
[*,1,2,4]  1 45 2 37 3 58
[*,2,2,4]  1 39 2 57 3 28
[*,3,2,4]  1 99 2 72 3 87
[*,4,2,4]  1 82 2 65 3 27
[*,5,2,4]  1 2 2 79 3 100
[*,1,3,4]  1 15 2 76 3 77
[*,2,3,4]  1 47 2 41 3 29
[*,3,3,4]  1 9 2 58 3 45
[*,4,3,4]  1 26 2 25 3 86
[*,5,3,4]  1 25 2 1 3 96
[*,1,4,4]  1 21 2 6 3 86
[*,2,4,4]  1 68 2 88 3 96
[*,3,4,4]  1 42 2 72 3 77
[*,4,4,4]  1 64 2 38 3 57
[*,5,4,4]  1 9 2 53 3 11
[*,1,5,4]  1 63 2 89 3 36
[*,2,5,4]  1 28 2 20 3 31
[*,3,5,4]  1 22 2 51 3 93
[*,4,5,4]  1 90 2 14 3 3
[*,5,5,4]  1 72 2 72 3 6
[*,1,1,5]  1 10 2 75 3 87
[*,2,1,5]  1 63 2 13 3 77
[*,3,1,5]  1 7 2 36 3 3
[*,4,1,5]  1 80 2 72 3 12
[*,5,1,5]  1 9 2 82 3 15
[*,1,2,5]  1 61 2 48 3 11
[*,2,2,5]  1 80 2 85 3 26
[*,3,2,5]  1 53 2 77 3 19
[*,4,2,5]  1 90 2 61 3 20
[*,5,2,5]  1 99 2 52 3 4
[*,1,3,5]  1 86 2 71 3 23
[*,2,3,5]  1 94 2 74 3 72
[*,3,3,5]  1 13 2 93 3 71
[*,4,3,5]  1 79 2 59 3 7
[*,5,3,5]  1 32 2 6 3 27
[*,1,4,5]  1 5 2 22 3 84
[*,2,4,5]  1 78 2 75 3 19
[*,3,4,5]  1 5 2 1 3 96
[*,4,4,5]  1 61 2 11 3 99
[*,5,4,5]  1 26 2 30 3 84
[*,1,5,5]  1 84 2 14 3 18
[*,2,5,5]  1 87 2 47 3 59
[*,3,5,5]  1 70 2 68 3 88
[*,4,5,5]  1 53 2 6 3 57
[*,5,5,5]  1 82 2 89 3 76;

#param U :=  1 99.0 2 98.0 3 97.0;
#param pu :=  1 100.0 2 99.0 3 100.0;
#param pl :=  1 1.0 2 1.0 3 3.0;
