# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1644491390791
# Cmd Line:	-g RandomGame -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f RG_multi_5_5_10.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
[1  1  1  1  1] :	[ 891 219 108 108 907 ]
[2  1  1  1  1] :	[ 637 239 903 492 908 ]
[3  1  1  1  1] :	[ 610 750 287 876 618 ]
[4  1  1  1  1] :	[ 626 707 277 287 114 ]
[5  1  1  1  1] :	[ 441 203 209 832 249 ]
[1  2  1  1  1] :	[ 932 354 873 432 130 ]
[2  2  1  1  1] :	[ 514 663 286 925 963 ]
[3  2  1  1  1] :	[ 89 706 957 79 772 ]
[4  2  1  1  1] :	[ 881 227 239 111 634 ]
[5  2  1  1  1] :	[ 543 328 41 582 415 ]
[1  3  1  1  1] :	[ 553 559 734 444 86 ]
[2  3  1  1  1] :	[ 671 522 721 248 810 ]
[3  3  1  1  1] :	[ 566 204 585 756 655 ]
[4  3  1  1  1] :	[ 813 184 724 517 802 ]
[5  3  1  1  1] :	[ 999 641 976 976 836 ]
[1  4  1  1  1] :	[ 541 986 533 816 672 ]
[2  4  1  1  1] :	[ 855 569 837 183 704 ]
[3  4  1  1  1] :	[ 836 595 156 828 921 ]
[4  4  1  1  1] :	[ 144 398 159 848 909 ]
[5  4  1  1  1] :	[ 611 479 45 266 459 ]
[1  5  1  1  1] :	[ 387 695 526 660 258 ]
[2  5  1  1  1] :	[ 821 226 377 610 788 ]
[3  5  1  1  1] :	[ 123 117 366 548 170 ]
[4  5  1  1  1] :	[ 831 449 660 90 123 ]
[5  5  1  1  1] :	[ 56 992 813 283 717 ]
[1  1  2  1  1] :	[ 90 228 407 966 351 ]
[2  1  2  1  1] :	[ 148 961 16 552 381 ]
[3  1  2  1  1] :	[ 2 359 749 79 702 ]
[4  1  2  1  1] :	[ 631 249 309 990 359 ]
[5  1  2  1  1] :	[ 192 921 824 473 251 ]
[1  2  2  1  1] :	[ 353 138 579 90 936 ]
[2  2  2  1  1] :	[ 518 26 521 695 460 ]
[3  2  2  1  1] :	[ 724 772 323 439 576 ]
[4  2  2  1  1] :	[ 824 260 84 50 623 ]
[5  2  2  1  1] :	[ 350 479 182 808 551 ]
[1  3  2  1  1] :	[ 971 781 737 554 900 ]
[2  3  2  1  1] :	[ 137 774 1 343 869 ]
[3  3  2  1  1] :	[ 235 167 318 906 889 ]
[4  3  2  1  1] :	[ 596 882 675 646 217 ]
[5  3  2  1  1] :	[ 209 791 893 860 48 ]
[1  4  2  1  1] :	[ 465 985 965 924 780 ]
[2  4  2  1  1] :	[ 526 481 83 824 432 ]
[3  4  2  1  1] :	[ 612 407 357 240 135 ]
[4  4  2  1  1] :	[ 554 347 751 434 64 ]
[5  4  2  1  1] :	[ 235 927 306 492 225 ]
[1  5  2  1  1] :	[ 848 807 512 261 717 ]
[2  5  2  1  1] :	[ 162 473 587 106 754 ]
[3  5  2  1  1] :	[ 147 971 79 775 232 ]
[4  5  2  1  1] :	[ 714 401 973 747 558 ]
[5  5  2  1  1] :	[ 776 243 613 489 933 ]
[1  1  3  1  1] :	[ 512 557 200 434 511 ]
[2  1  3  1  1] :	[ 978 685 278 496 582 ]
[3  1  3  1  1] :	[ 33 726 953 362 977 ]
[4  1  3  1  1] :	[ 287 631 20 218 472 ]
[5  1  3  1  1] :	[ 996 991 764 755 348 ]
[1  2  3  1  1] :	[ 66 871 154 357 984 ]
[2  2  3  1  1] :	[ 187 978 818 527 818 ]
[3  2  3  1  1] :	[ 612 675 311 940 601 ]
[4  2  3  1  1] :	[ 235 963 431 967 610 ]
[5  2  3  1  1] :	[ 353 758 413 36 313 ]
[1  3  3  1  1] :	[ 31 1000 686 641 660 ]
[2  3  3  1  1] :	[ 962 17 197 583 546 ]
[3  3  3  1  1] :	[ 455 601 350 159 484 ]
[4  3  3  1  1] :	[ 381 694 648 752 399 ]
[5  3  3  1  1] :	[ 367 240 889 79 134 ]
[1  4  3  1  1] :	[ 502 123 202 844 753 ]
[2  4  3  1  1] :	[ 615 76 363 450 703 ]
[3  4  3  1  1] :	[ 450 9 455 840 855 ]
[4  4  3  1  1] :	[ 838 560 113 970 767 ]
[5  4  3  1  1] :	[ 253 656 214 40 546 ]
[1  5  3  1  1] :	[ 154 6 999 606 871 ]
[2  5  3  1  1] :	[ 44 490 49 379 499 ]
[3  5  3  1  1] :	[ 421 15 159 262 246 ]
[4  5  3  1  1] :	[ 562 815 214 132 502 ]
[5  5  3  1  1] :	[ 496 76 590 503 407 ]
[1  1  4  1  1] :	[ 514 209 221 61 62 ]
[2  1  4  1  1] :	[ 925 209 963 906 956 ]
[3  1  4  1  1] :	[ 598 2 737 104 881 ]
[4  1  4  1  1] :	[ 685 651 681 640 778 ]
[5  1  4  1  1] :	[ 613 674 738 540 42 ]
[1  2  4  1  1] :	[ 109 314 981 910 797 ]
[2  2  4  1  1] :	[ 899 71 174 783 129 ]
[3  2  4  1  1] :	[ 808 405 805 774 407 ]
[4  2  4  1  1] :	[ 303 102 336 638 117 ]
[5  2  4  1  1] :	[ 654 971 551 97 804 ]
[1  3  4  1  1] :	[ 365 352 789 747 998 ]
[2  3  4  1  1] :	[ 237 391 69 416 357 ]
[3  3  4  1  1] :	[ 365 878 269 897 256 ]
[4  3  4  1  1] :	[ 545 329 461 924 272 ]
[5  3  4  1  1] :	[ 198 560 480 967 151 ]
[1  4  4  1  1] :	[ 46 789 972 388 714 ]
[2  4  4  1  1] :	[ 784 185 15 200 745 ]
[3  4  4  1  1] :	[ 56 188 444 355 739 ]
[4  4  4  1  1] :	[ 256 746 598 408 139 ]
[5  4  4  1  1] :	[ 389 531 353 883 333 ]
[1  5  4  1  1] :	[ 507 71 83 324 722 ]
[2  5  4  1  1] :	[ 924 823 18 822 366 ]
[3  5  4  1  1] :	[ 938 421 894 917 558 ]
[4  5  4  1  1] :	[ 23 363 315 439 475 ]
[5  5  4  1  1] :	[ 199 238 72 582 359 ]
[1  1  5  1  1] :	[ 71 322 664 584 971 ]
[2  1  5  1  1] :	[ 245 58 501 363 763 ]
[3  1  5  1  1] :	[ 633 471 597 78 750 ]
[4  1  5  1  1] :	[ 818 195 67 951 814 ]
[5  1  5  1  1] :	[ 530 409 88 330 261 ]
[1  2  5  1  1] :	[ 875 255 143 114 6 ]
[2  2  5  1  1] :	[ 104 678 857 430 613 ]
[3  2  5  1  1] :	[ 411 432 178 392 216 ]
[4  2  5  1  1] :	[ 241 642 925 737 534 ]
[5  2  5  1  1] :	[ 315 961 228 695 998 ]
[1  3  5  1  1] :	[ 401 361 957 981 658 ]
[2  3  5  1  1] :	[ 270 781 572 413 402 ]
[3  3  5  1  1] :	[ 645 466 102 818 519 ]
[4  3  5  1  1] :	[ 651 294 268 637 940 ]
[5  3  5  1  1] :	[ 281 685 485 769 858 ]
[1  4  5  1  1] :	[ 762 129 605 265 916 ]
[2  4  5  1  1] :	[ 57 138 707 254 782 ]
[3  4  5  1  1] :	[ 483 684 125 305 761 ]
[4  4  5  1  1] :	[ 622 472 382 744 918 ]
[5  4  5  1  1] :	[ 456 267 765 591 769 ]
[1  5  5  1  1] :	[ 216 708 162 664 583 ]
[2  5  5  1  1] :	[ 677 269 927 785 925 ]
[3  5  5  1  1] :	[ 793 986 746 708 928 ]
[4  5  5  1  1] :	[ 841 710 976 733 780 ]
[5  5  5  1  1] :	[ 441 295 194 663 938 ]
[1  1  1  2  1] :	[ 877 693 132 716 417 ]
[2  1  1  2  1] :	[ 120 240 633 253 526 ]
